File,aid,Date,2,14,48,49,85,96,97,112,113,144,145,160,161,164,165,176,177,224,225,240,244
QC_Night_2006185_aid0001,aid0001,2006-07-04,1204.0,,10.0,4.0,,341.0,537.0,3087.0,2428.0,,,1035.0,409.0,,,14845.0,9975.0,,,4771.0,
QC_Night_2006193_aid0001,aid0001,2006-07-12,,,,,,,,,,,,,,,,33031.0,107.0,,,5508.0,
QC_Night_2006201_aid0001,aid0001,2006-07-20,,,1237.0,136.0,,17.0,,15067.0,1007.0,,,,,,,20943.0,239.0,,,,
QC_Night_2006209_aid0001,aid0001,2006-07-28,,,,,,,,,,,,,,,,22557.0,1484.0,,,14605.0,
QC_Night_2006217_aid0001,aid0001,2006-08-05,,,,,,,,9.0,1.0,,,1168.0,,,,32564.0,476.0,,,4428.0,
QC_Night_2006225_aid0001,aid0001,2006-08-13,,,,,,,,,,,,,,,,29820.0,3296.0,,,5530.0,
QC_Night_2006233_aid0001,aid0001,2006-08-21,,,,,,,,122.0,61.0,,,,,,,33399.0,5056.0,,,8.0,
QC_Night_2006241_aid0001,aid0001,2006-08-29,7.0,,,,,,,,,,,,,,,5141.0,654.0,,,32844.0,
QC_Night_2006249_aid0001,aid0001,2006-09-06,48.0,,,,,,2.0,174.0,297.0,,,,3.0,,,34746.0,3338.0,,,38.0,
QC_Night_2006257_aid0001,aid0001,2006-09-14,149.0,,,,,,,,,,,,,,,,1.0,,,38496.0,
QC_Night_2006265_aid0001,aid0001,2006-09-22,1.0,,,,,,,10.0,4.0,,,,,,,5719.0,633.0,,,32279.0,
QC_Night_2006273_aid0001,aid0001,2006-09-30,442.0,,,,,,,,,,,1.0,,,,14963.0,1585.0,,,21655.0,
QC_Night_2006281_aid0001,aid0001,2006-10-08,183.0,,,,,,,31.0,53.0,,,,,,,28656.0,7336.0,,,2387.0,
QC_Night_2006289_aid0001,aid0001,2006-10-16,6760.0,,,,,,,,,,,,,,,2826.0,4251.0,,,24809.0,
QC_Night_2006297_aid0001,aid0001,2006-10-24,952.0,,,,,,,,,,,,,,,13361.0,15484.0,,,8849.0,
QC_Night_2006305_aid0001,aid0001,2006-11-01,2093.0,,,,,,,,,,,,,,,90.0,31.0,,,36432.0,
QC_Night_2006313_aid0001,aid0001,2006-11-09,11828.0,,,,,,,,,,,,,,,8715.0,8714.0,,,9389.0,
QC_Night_2006321_aid0001,aid0001,2006-11-17,4157.0,,,,,,,,,,,,,,,336.0,1045.0,,,33108.0,
QC_Night_2006329_aid0001,aid0001,2006-11-25,13363.0,,,,,,,,,,,,,,,651.0,4699.0,,,19933.0,
QC_Night_2006337_aid0001,aid0001,2006-12-03,8580.0,,,,,,,,,,,,,,,22.0,843.0,,,29201.0,
QC_Night_2006345_aid0001,aid0001,2006-12-11,25852.0,,,,,,,,,,,,,,,804.0,3744.0,,,8246.0,
QC_Night_2006353_aid0001,aid0001,2006-12-19,12562.0,,,,,,,,,,,,,,,1059.0,1505.0,,,23520.0,
QC_Night_2006361_aid0001,aid0001,2006-12-27,8269.0,,,,,,,,,,,,,,,,,,,30377.0,
QC_Night_2007001_aid0001,aid0001,2007-01-01,9391.0,,,,,,,,,,,,,,,3.0,138.0,,,29114.0,
QC_Night_2007009_aid0001,aid0001,2007-01-09,8619.0,,,,,,,,,,,,,,,13.0,1343.0,,,28671.0,
QC_Night_2007017_aid0001,aid0001,2007-01-17,8212.0,,,,,,,,,,,,,,,,774.0,,,29660.0,
QC_Night_2007025_aid0001,aid0001,2007-01-25,4170.0,,,,,,,,,,,,,,,10970.0,4298.0,,,19208.0,
QC_Night_2007033_aid0001,aid0001,2007-02-02,6400.0,,,,,,,,,,,,,,,3667.0,1206.0,,,27373.0,
QC_Night_2007041_aid0001,aid0001,2007-02-10,16158.0,,,,,,,,,,,,,,,,12.0,,,22476.0,
QC_Night_2007049_aid0001,aid0001,2007-02-18,5757.0,,,,,,,,,,,,,,,674.0,2636.0,,,29579.0,
QC_Night_2007057_aid0001,aid0001,2007-02-26,10799.0,,,,,,,,,,,,,,,65.0,357.0,,,27425.0,
QC_Night_2007065_aid0001,aid0001,2007-03-06,4886.0,,,,,,,,,,,,,,,473.0,1629.0,,,31658.0,
QC_Night_2007073_aid0001,aid0001,2007-03-14,105.0,,,,,,,,,,,,,,,4662.0,2809.0,,,31070.0,
QC_Night_2007081_aid0001,aid0001,2007-03-22,823.0,,,,,,,,,,,,,,,5496.0,5311.0,,,27016.0,
QC_Night_2007089_aid0001,aid0001,2007-03-30,3681.0,,,,,,,,,,,,,,,3185.0,3660.0,,,28120.0,
QC_Night_2007097_aid0001,aid0001,2007-04-07,969.0,,,,,,,,,,,,,,,10620.0,13324.0,,,13733.0,
